,name
0,168계단
1,18번완당집
2,1950태성당
3,25의용단
4,303일상
5,303화덕동래점
6,303화덕송정점
7,40계단문화관광테마거리
8,75광장
9,77돌곱창
10,BIFF광장
11,EL16.52
12,F1963
13,KT&G상상마당부산
14,KT_G상상마당부산
15,LIDI&PAUL
16,LIDI_PAUL
17,VSANT
18,가가와
19,가덕도
20,가덕도대항인공동굴
21,가덕도등대
22,가덕도연대봉
23,가덕해양파크휴게소
24,가마솥생복집
25,가야공원/가야산책공원
26,가야할매밀면전문점
27,갈비곳간
28,감나무집
29,감만시민공원
30,감지해변
31,감천항
32,감포참가자미
33,갓파스시
34,강호중마라도물회
35,개금밀면
36,개미집(본점)
37,개화
38,거대갈비
39,거대곰탕
40,거루캥테이블
41,거창맷돌
42,거창맷돌순두부
43,게스후
44,경주집
45,고관함박
46,고스락
47,고향맛
48,고향연화
49,고향집칼국수
50,곰내연밭
51,곰내재468
52,곰보식당
53,공극샌드커피
54,공수어촌체험마을
55,공원집
56,공원칼국수
57,관음사
58,광명집
59,광복로문화패션거리
60,광안리SUPZone
61,광안리부산횟집
62,광안리언양불고기부산집(언양불고기부산집)
63,광안리해수욕장
64,구덕문화공원
65,구덕민속촌
66,구덕포끝집고기
67,구디너프
68,구로마쯔
69,구상반려암(부산국가지질공원)
70,구자윤과자점
71,구포어린이교통공원
72,국립달음산자연휴양림
73,국이네낙지볶음
74,국제크루즈터미널
75,그라노데카페
76,그라치에
77,그랜드애플
78,그린노마드
79,그릿비일광
80,금강공원
81,금강만두
82,금강식물원
83,금강암(부산)
84,금문
85,금수사(부산)
86,금오횟집
87,금용암(부산)
88,금정산(부산국가지질공원)
89,금정산성
90,금정산성마을먹거리촌
91,금정산성막걸리
92,급행장
93,기장끝집
94,기장방우횟집
95,기장손칼국수
96,기장이화장횟집
97,기장집
98,기장해녀촌(연화리횟촌)
99,기장향교
100,기장혼국보미역
101,기픈골황토마루
102,길세이로무시
103,김덕규과자점강서지점
104,김민부전망대
105,김유순대구뽈찜
106,깃발집미주구리물회
107,까미노블랑코
108,깡깡이예술마을
109,꺼먹동네횟집
110,꽃피는4월밀익는5월
111,나가하마만게츠
112,낙동강문화관
113,낙동강생태탐방선
114,낙동강오리알본점
115,낙동강하구
116,낙동강하구(부산국가지질공원)
117,낙동강하구에코센터
118,남도해양관광열차S-트레인(S-train)
119,남성관
120,남천녹차팥빙수
121,남포삼계탕
122,남항횟집
123,낭만송백
124,내원정사(부산)
125,냉수탕가든
126,넉아웃
127,넘버원화로구이송정점
128,노티스
129,녹산고향동산
130,녹산용가든
131,누리바라기전망대
132,느루한정식
133,늘해랑
134,다나휴스
135,다대포꿈의낙조분수
136,다대포해수욕장
137,다솥맛집
138,다온나루
139,다옴
140,닥밭골벽화마을
141,달맞이동산
142,닭발의지존
143,대각사(부산)
144,대관원
145,대궐쌈밥정관점
146,대궐안집
147,대동냉면밀면
148,대마등
149,대보름
150,대복성
151,대신공원
152,대연수목전시원
153,대저생태공원
154,대저수문생태공원
155,대천공원
156,대천천
157,대항선착장
158,대항전망대
159,더가마
160,더바베큐051
161,더베이101
162,더스타뷔페
163,더팜471
164,덕미
165,덕산명가참소국밥
166,도림
167,도토리
168,돌고래순두부
169,돌솥밥집
170,동래밀면
171,동래별장
172,동래온천길(온천천산책코스)
173,동래온천노천족탕
174,동래원조산곰장어
175,동래읍성지
176,동래할매파전
177,동래향교
178,동백공원
179,동백샤브샤브
180,동백섬횟집
181,동신참치
182,동원장수촌
183,두도(부산국가지질공원)
184,두번째늘해랑
185,두송반도(부산국가지질공원)
186,듀스포레
187,듀코비다이너
188,디에이블광안점
189,디에이블달맞이점
190,디원카페
191,디저트시네마
192,딤타오
193,땅뫼산
194,라꽁띠
195,라이프커피앤티
196,러브얼스
197,로다로지
198,로빈뮤지엄
199,로아누
200,로와맨션
201,록산
202,료미송정점
203,류센소본점
204,르쎄
205,리바타
206,리버사이드
207,리오네
208,마당집
209,마레레스토랑
210,마리솔
211,마린시티
212,마산게낙찜
213,마파람해물찜해물탕구서본점
214,마포면옥
215,마하사(부산)
216,막썰어파는횟집서면
217,만덕고개누리길전망데크
218,만들숲
219,만디
220,만서리이가네막국수
221,만석미역본점
222,만선해물탕부산기장점
223,만호횟집
224,맘보식당
225,맛소문오리불고기
226,망산도·유주암·유주비각
227,맥도생태공원
228,메그네이트
229,메르데쿠르
230,메밀447
231,메이크씨
232,명란브랜드연구소
233,명수정
234,명지광복경양식
235,명지동근린공원
236,명지첫집
237,모모스로스터리&커피바
238,모모스로스터리_커피바
239,모모스커피본점
240,목장원
241,몰운대(부산국가지질공원)
242,몽실종가돼지국밥
243,묘관음사
244,무궁화
245,무명일기
246,무심정
247,무진장횟집
248,묵은지돼지김치찌개
249,문토스트
250,문화공감수정(부산수정동일본식가옥)
251,문화쌈밥
252,물꽁식당
253,물빛색스튜디오
254,미도식당
255,미동암소정
256,미락슈퍼
257,미륵사(부산)
258,미미루
259,미청식당
260,미포
261,미포집
262,미포할매복국본가
263,미포항
264,민락수변공원
265,민주공원
266,밀락더마켓
267,밀레니엄횟집
268,밀양순대돼지국밥
269,바다횟집
270,바로해장
271,바릇식당
272,바보낙지
273,박가네순두부
274,박옥희할매집원조복국
275,박해윤통영해물밥상
276,반송187
277,반송공원
278,방코
279,배종관동래삼계탕
280,백구당
281,백설대학
282,백양산웰빙숲
283,범어사(부산)
284,벨렘351
285,병산365
286,보람공원
287,보리에브레드팩토리
288,복성반점
289,본가낙지볶음
290,본가딸부자전복죽집
291,본참치
292,봉래산(부산)
293,부산감천문화마을
294,부산광안대교
295,부산다이아몬드타워
296,부산대교
297,부산동명불원
298,부산라벤더팜
299,부산롯데월드
300,부산명물횟집
301,부산민주공원
302,부산복천동고분군
303,부산송도해상케이블카
304,부산송도해수욕장
305,부산시민공원
306,부산암남공원
307,부산어린이대공원
308,부산에덴공원
309,부산엑스더스카이
310,부산영화의전당
311,부산영화체험박물관
312,부산영화촬영스튜디오
313,부산올림픽동산
314,부산자갈치양곱창골목
315,부산조개창고
316,부산조개창고명지점
317,부산족발
318,부산중앙공원
319,부산진성공원
320,부산진지성
321,부산차이나타운특구(상해문.상해거리)
322,부산칠드런스뮤지엄
323,부센동
324,부엌우동집
325,부우사안
326,부평족발
327,불끈낙지
328,브라운피크닉
329,브레이크인커피
330,브리타니
331,블랙업커피
332,블랙업커피을숙도
333,비비비당
334,비석문화마을
335,비스포레
336,뺑드엘리시안
337,사마정
338,사미헌
339,사비아
340,사상근린공원
341,사천게장집
342,산성집
343,산성청송가든
344,삼광사
345,삼락생태공원
346,삼진어묵체험·역사관
347,상국이네
348,새아침맛집
349,샤브막심송정본점
350,샤브야본점
351,서대시장족발
352,서면개금밀면
353,서면집
354,선창갈미조개
355,선창횟집
356,성일집
357,성지곡수원지
358,세연정
359,센텀APEC나루공원
360,센텀시티스파랜드
361,소두방공원
362,소문난원조조방낙지
363,소문난원조조방낙지본점
364,소문난주문진막국수
365,속시원한대구탕
366,속씨원한대구탕미포본점
367,속씨원한대구탕해운대점
368,솔내음한정식
369,송도1913
370,송도공원
371,송도마을
372,송도반도(부산국가지질공원)
373,송도용궁구름다리
374,송상현광장
375,송원일식
376,송정물총칼국수
377,송정죽도공원
378,송정집
379,송정해녀집
380,송정해수욕장
381,수미르공원
382,수민이네
383,수변최고돼지국밥
384,수복돼지국밥
385,수안커피컴퍼니플래그십스토어
386,수영돼지국밥
387,수영사적공원
388,수월경화
389,수정궁
390,숟가락젓가락
391,스노잉클라우드
392,스스키노전포점
393,스시몬
394,스시미르네
395,스시미르네용호점
396,스완양분식
397,스케줄해운대
398,스테이크잡스서면
399,스파랜드센텀시티
400,스페이스앤무드
401,승학산
402,시골밥상
403,시골통돼지볶음부산연산점
404,시소
405,식당연화연화리본점
406,신가네호떡김밥떡볶이
407,신가야밀면
408,신기산업
409,신기숲
410,신기여울
411,신라농원
412,신라횟집
413,신발원
414,신세계센텀시티
415,신센
416,신창국밥본점
417,신평소공원
418,신호공원
419,싱싱뽈락회해운대본점
420,쌍둥이돼지국밥(2호점)
421,쌍둥이돼지국밥대연점
422,아데초이
423,아델라7
424,아라진
425,아미르공원
426,아미산
427,아미산전망대
428,아수라
429,아시오
430,아이온파티서면
431,아티성블렁제리빵빵빵
432,아홉산숲
433,안데르센동화마을
434,안영순베이커리카페
435,안적사(부산)
436,알로이삥삥
437,알천순대곱창전골전문점본점
438,압구정갈비
439,앙로고택
440,야스마루
441,양산국밥
442,양산왕돼지국밥
443,양산집
444,양정기사식당
445,어가초밥
446,어느멋진날
447,어라우즈로스터리
448,어밤부
449,어보
450,어부밥상
451,어쭈
452,엄마손대구탕
453,엄용백돼지국밥
454,에테르
455,엘올리브
456,엠아이알오
457,엣지993
458,역사의디오라마
459,연산낙지해물탕
460,연어바치
461,연태봉
462,연화리진품물회
463,영남냉면밀면
464,영남돼지
465,영남식육식당
466,영남식육식당동래점
467,영도대교
468,영도등대
469,영도면옥
470,영도청학배수지전망대
471,영도하늘전망대
472,영도흰여울해안터널
473,영동밀면_돼지국밥
474,영빈관
475,영주하늘눈전망대
476,영진돼지국밥
477,영진돼지국밥(부산강서구)
478,예이제한정식
479,옛날오막집
480,옛백제병원
481,오구카페
482,오대감
483,오드이븐다대포점
484,오륙도(부산국가지질공원)
485,오륙도가원
486,오륙도낙지
487,오륙도스카이워크
488,오륙도해맞이공원
489,오륙도해맞이소공원
490,오륜대전망대
491,오르디
492,오리한상명지본점
493,오막집
494,오반장
495,오복삼계탕
496,오사카
497,오소리순대
498,오스테리아라치베타
499,오시리아해안산책로
500,오페라
501,오프오
502,오플로우
503,오후의홍차
504,옥련선원
505,옥미아구찜
506,옥이네밀면칼국수
507,옥정사
508,옥탑방
509,온천천시민공원
510,왕밀면냉면전문점
511,외식1번가
512,외양포포진지
513,요이쿠마본점
514,용궁해물야채쟁반짜장
515,용두산공원
516,용소웰빙공원
517,용암할매횟집
518,용천집
519,우남정
520,우디브룩
521,우리이모집
522,우봉
523,우성삼계탕
524,우송가든
525,우암동도시숲
526,우정갈비
527,운수사(부산)
528,원산면옥
529,원조18번완당
530,원조꼬리곰집
531,원조범일동매떡
532,원조서울삼계탕
533,원조석대추어탕
534,원조소문난산곰장어
535,원조할매낙지
536,원조할매복국
537,월남면반
538,월내반점
539,월화횟집
540,웨스턴챔버
541,유정1995
542,유치환우체통전망대
543,윤가네신토불이보쌈
544,은진사
545,은하갈비
546,을숙도공원
547,을숙도횟집
548,이가네떡볶이
549,이기대(부산국가지질공원)
550,이기대섭자리
551,이동항
552,이레옥
553,이재모피자
554,이중섭거리
555,이지요더파크
556,이티135
557,이프리오
558,일광당
559,일광대복집
560,일광수산횟집
561,일광정
562,일광카페숲
563,일광해수욕장
564,일번지자갈치산곰장어
565,일번횟집
566,일송면옥
567,일품한우
568,임랑해수욕장
569,자갈치왕짬뽕
570,자매국밥
571,장군멸치회촌
572,장덕풍천산삼민물장어
573,장룡수산본점
574,장림포구
575,장미원
576,장성향
577,장씨해녀집
578,장안사(부산)
579,장춘방
580,장퀘
581,재기돼지국밥
582,재한유엔기념공원(UN기념공원)
583,전골(그집)
584,전산가든
585,전원숯불부산구서점
586,전포카페거리
587,절영해안산책로
588,정동진해물탕
589,정란각/문화공감수정
590,정림한정식
591,정원오리촌
592,정을담다
593,젖병등대
594,제이엠커피로스터스정관점
595,제일산꼼장어
596,제주가서면
597,제주복국
598,제주항통갈치
599,젠스시
600,젬스톤
601,젬스톤송정점
602,조방제일한우
603,조방해수탕
604,죽도집(죽도횟집)
605,죽성성당(드림세트장)
606,중앙공원
607,중앙모밀
608,중앙해수랜드
609,지미지니팍
610,진목카페
611,진조조개구이
612,참나무숯불구이
613,채플린
614,척판암(부산)
615,철마대가한우직판장
616,철마연밥
617,철마원조추어탕
618,철마한우산마루
619,철마한우수목원
620,청도치킨
621,청사포
622,청사포다릿돌전망대
623,청와정
624,초량1941
625,초량845
626,초량밀면
627,초량불백
628,초량온당
629,초량이바구길
630,초오록
631,초원농원
632,초함
633,최뼈다구해장국
634,충렬사
635,친환경스카이웨이전망대(이바구길)
636,칠암사계
637,카파도키아
638,카페385
639,카페공지
640,카페녹녹
641,카페드220볼트오시리아
642,카페만디
643,카페바이버
644,카페오시오
645,카페인부산
646,캐니언파크부산
647,캐비네드쁘아쏭(미디어갤러리)
648,캥거루포인트
649,코랄라니
650,코모도테이블
651,쿼피집
652,큰집식당
653,클라우드32
654,클라임타워
655,클래식캠퍼
656,클레이디뷔페
657,키자니아부산
658,키치니토키친
659,키친동백
660,타이가텐푸라
661,타이빈
662,타타에스프레소바
663,태백관
664,태종대(부산국가지질공원)
665,태종대다누비열차
666,태종대암소한마당
667,태종대온천찜질방
668,태종대전망대
669,태종대짬뽕
670,태종사
671,태화육개장
672,테라로사수영점
673,토로
674,토북베이커리
675,톤쇼우
676,톤쇼우(광안점)
677,통일아시아드공원
678,툇마루
679,튼튼장어무한리필
680,파나카F
681,파도횟집
682,팔미초밥
683,팜카페
684,페리데스하이엔드
685,평화공원
686,포도청
687,포레스트3002
688,포에버얌부산기장점
689,포항돼지국밥
690,푸디1354
691,풍원장고기정찬(달맞이점)
692,풍원장시골밥상집
693,프론트오브
694,프루터리포레스트
695,프린체
696,피크스퀘어
697,하가원해운대점
698,하기연진주냉면
699,하녹
700,하늘아래첫집
701,하늘어장
702,하늘연달스무아흐레
703,하론테라스
704,하리선착장
705,하바나
706,하진이네
707,학리항(학리방파제)
708,한뚝배기
709,한민이의마크로비오틱디저트
710,한방장어구이
711,한양족발
712,할매가야밀면
713,할매재첩국
714,할매집
715,할매팥빙수단팥죽
716,함경면옥동래본점
717,합천국밥집
718,합천일류돼지국밥
719,해광사
720,해녀천지할매집
721,해녀할매집
722,해동성취사
723,해동용궁사(부산)
724,해동횟집
725,해리단길
726,해목
727,해물왕창칼국수
728,해변짚불곰장어
729,해신킹크랩
730,해운대가야밀면
731,해운대기와집대구탕
732,해운대동백섬
733,해운대리버크루즈
734,해운대밀면
735,해운대블루라인파크
736,해운대수목원
737,해운대암소갈비집
738,해운대온천센터
739,해운대원조할매국밥
740,해운대하얀오징어집
741,해운대해물칼국수
742,해운대해수욕장
743,해운마루
744,해월정
745,해풍가마솥
746,향유정속초이모네찜
747,허브랑야생화
748,허심청
749,헤이든
750,헤이든신씨어
751,헬로우스시
752,형제가든
753,혜원정사
754,호천마을
755,홍법사(부산)
756,홍순덕전포양곱창
757,홍연폭포
758,홍유단광안점
759,화명생태공원
760,화명수목원
761,화복반점
762,화전국수
763,황령산
764,황령산전망대
765,회국수할매집
766,회동수원지
767,흑기와
768,흑송
769,희와제과
770,흰여울문화마을
